timestamp,num_swaths,bbox,val_0,0-10,10-20,20-30,30-40,40-50,50-60,60-70,70-80,80-90,90-100,val_100,amsr2_file,sic_file,error
20240202T191452,44,"(739687.4147054533, -3220494.697319675, 1327704.938390395, -2639847.0595110827)",24783218,1681,196,102,90,80,68,49,63,52,54,2,AMSR2_S1A_EW_GRDM_1SDH_20240202T191452_20240202T191551_052384_0655AC_62A3.nc,S1A_EW_GRDM_1SDH_20240202T191452_20240202T191551_052384_0655AC_62A3_SIC.tiff,
20240202T125015,2,"(-920184.2933631409, -1234069.2697393924, -345601.66322571284, -665876.1499041514)",0,9041,40677,54768,153404,88890,72611,107582,110874,246462,1232301,6269560,AMSR2_S1A_EW_GRDM_1SDH_20240202T125015_20240202T125119_052380_065585_BFBF.nc,S1A_EW_GRDM_1SDH_20240202T125015_20240202T125119_052380_065585_BFBF_SIC.tiff,
20240202T075604,2,"(687606.531444654, -1894647.836037431, 1181924.6223706035, -1407935.870579244)",2850921,312641,156245,188234,456624,530752,731459,951395,1161693,3127982,8353887,5216405,AMSR2_S1A_EW_GRDM_1SDH_20240202T075604_20240202T075704_052377_065567_5078.nc,S1A_EW_GRDM_1SDH_20240202T075604_20240202T075704_052377_065567_5078_SIC.tiff,
20240202T143204,2,"(-2400272.2645471217, -923042.3550868125, -1967827.9895694426, -479015.47450474906)",0,0,0,0,0,0,0,0,0,4,97379,8002760,AMSR2_S1A_EW_GRDM_1SDH_20240202T143204_20240202T143304_052381_06558F_25E7.nc,S1A_EW_GRDM_1SDH_20240202T143204_20240202T143304_052381_06558F_25E7_SIC.tiff,
20240202T075504,2,"(593425.9628767275, -1505726.953924232, 1088289.6163104929, -1018482.6927486289)",2177253,534152,253748,427659,1077555,640503,361734,377768,692370,1199362,5646378,10839598,AMSR2_S1A_EW_GRDM_1SDH_20240202T075504_20240202T075604_052377_065567_49B7.nc,S1A_EW_GRDM_1SDH_20240202T075504_20240202T075604_052377_065567_49B7_SIC.tiff,
20240202T111356,2,"(-1023431.003916038, -2196259.456410715, -445060.11087881913, -1623352.472893714)",0,0,0,0,0,0,0,127,12949,32313,288495,21519180,AMSR2_S1A_EW_GRDM_1SDH_20240202T111356_20240202T111456_052379_06557C_C4DB.nc,S1A_EW_GRDM_1SDH_20240202T111356_20240202T111456_052379_06557C_C4DB_SIC.tiff,
20240202T174733,2,"(-1674352.992917628, 350280.76377410284, -1103844.6619686633, 922694.4941028025)",0,0,0,0,0,0,0,0,0,0,543884,23865060,AMSR2_S1A_EW_GRDM_1SDH_20240202T174733_20240202T174833_052383_0655A0_84DE.nc,S1A_EW_GRDM_1SDH_20240202T174733_20240202T174833_052383_0655A0_84DE_SIC.tiff,
20240202T111252,44,"(-782515.0404467821, -1868447.8484835895, -195614.58291590514, -1277256.485901715)",0,0,0,0,0,0,0,0,0,0,517340,18926393,AMSR2_S1A_EW_GRDM_1SDH_20240202T111252_20240202T111356_052379_06557C_BBAD.nc,S1A_EW_GRDM_1SDH_20240202T111252_20240202T111356_052379_06557C_BBAD_SIC.tiff,
20240202T191652,44,"(415143.8493784945, -2501739.1602050816, 895855.6252023489, -2089573.0223446353)",0,11167,3865,2120,1599,1329,1434,1908,4023,12803,1211496,7150013,AMSR2_S1A_EW_GRDM_1SDH_20240202T191652_20240202T191726_052384_0655AC_C953.nc,S1A_EW_GRDM_1SDH_20240202T191652_20240202T191726_052384_0655AC_C953_SIC.tiff,
20240202T142900,2,"(-1205638.0781373263, -825738.4758260545, -738878.4277428329, -370639.937561606)",0,0,0,0,3,8,17,45,116,400,1950507,18673430,AMSR2_S1A_EW_GRDM_1SDH_20240202T142900_20240202T143004_052381_06558F_0BE7.nc,S1A_EW_GRDM_1SDH_20240202T142900_20240202T143004_052381_06558F_0BE7_SIC.tiff,
